time,memory usage
1480447438.399644,38391808
1480447441.771837,38391808
1480447445.122028,38391808
1480447448.29821,38391808
1480447451.482392,38391808
1480447454.665574,38391808
1480447457.91276,38391808
1480447461.148945,38391808
1480447464.510137,38391808
1480447467.651317,38391808
1480447470.913503,38391808
1480447474.113686,38391808
1480447477.198863,38391808
1480447480.410047,38391808
1480447483.61723,38391808
1480447486.819413,38391808
1480447489.993595,38391808
1480447493.278783,38391808
1480447496.451964,38391808
1480447499.581143,38391808
1480447502.736324,38391808
1480447505.892504,38391808
1480447509.175692,38391808
1480447512.513883,38391808
1480447515.725066,38391808
1480447518.972252,38391808
1480447522.25444,38391808
1480447525.40362,38391808
1480447528.656806,38391808
1480447531.894991,38391808
1480447535.070173,38391808
1480447538.33836,38391808
1480447541.648549,38391808
1480447544.80473,38391808
1480447547.895907,38391808
1480447551.040086,38391808
1480447554.118262,38391808
1480447557.362448,38391808
1480447560.571632,38391808
1480447563.732812,38391808
1480447566.83499,38391808
1480447569.965169,38391808
1480447573.265358,38391808
1480447576.46154,38391808
1480447579.580719,38391808
1480447582.853906,38391808
1480447586.166095,38391808
1480447589.353278,38391808
1480447592.565461,38391808
1480447595.801647,38391808
1480447599.139837,38391808
1480447602.50303,38391808
1480447605.884223,38391808
1480447609.076406,38391808
1480447612.28959,38391808
1480447615.566777,38391808
1480447618.781961,38391808
1480447621.985144,38391808
1480447625.148325,38391808
1480447628.685527,38391808
1480447631.961715,38391808
1480447635.160898,38391808
1480447638.424084,38391808
1480447641.803278,38391808
1480447644.938457,38391808
1480447648.113639,38391808
1480447651.261819,38391808
1480447654.408999,38391808
1480447657.708187,38391808
1480447660.885369,38391808
1480447663.994547,38391808
1480447667.261734,38391808
1480447670.621926,38391808
1480447674.004119,38391808
1480447677.227304,38391808
1480447680.611497,38391808
1480447683.921687,38391808
1480447687.186873,38391808
1480447690.399057,38391808
1480447693.822253,38391808
1480447697.174445,38391808
1480447700.448632,38391808
1480447703.539809,38391808
1480447706.887,38391808
1480447710.059182,38391808
1480447713.323368,38391808
1480447716.532552,38391808
1480447719.615728,38391808
1480447722.994922,38391808
1480447726.085098,38391808
1480447729.6133,38391808
1480447732.861486,38391808
1480447736.07667,38391808
1480447739.328856,38391808
1480447742.869058,38391808
1480447746.030239,38391808
1480447749.36943,38391808
1480447752.568613,38391808
1480447755.672791,38391808
1480447758.841972,38391808
1480447762.046155,38391808
1480447765.209336,38391808
1480447768.298513,38391808
1480447771.488695,38391808
1480447774.70988,38391808
1480447777.901062,38391808
1480447781.073243,38391808
1480447784.260426,38391808
1480447787.420607,38391808
1480447790.721795,38391808
1480447793.874976,38391808
1480447797.082159,38391808
1480447800.635362,38391808
1480447804.001555,38391808
1480447807.423751,38391808
1480447810.622934,38391808
1480447813.845118,38391808
1480447816.998298,38391808
1480447820.252484,38391808
1480447823.444667,38391808
1480447826.659851,38391808
1480447829.993042,38391808
1480447833.217226,38391808
1480447836.509414,38391808
1480447839.680596,38391808
1480447843.091791,38391808
1480447846.318975,38391808
1480447849.613164,38391808
1480447852.849349,38391808
1480447855.925525,38391808
1480447859.226714,38391808
1480447862.367893,38391808
1480447865.669082,38391808
1480447868.979271,38391808
1480447872.150453,38391808
1480447875.552647,38391808
1480447878.796833,38391808
1480447882.017017,38391808
1480447885.285204,38391808
1480447888.589393,38391808
1480447891.880581,38391808
1480447895.047762,38391808
1480447898.418955,38391808
1480447901.560135,38391808
1480447904.675313,38391808
1480447907.9405,38391808
1480447911.173685,38391808
1480447914.420871,38391808
1480447917.758061,38391808
1480447920.964245,38391808
1480447924.279434,38391808
1480447927.562622,38391808
1480447930.810808,38391808
1480447934.074995,38391808
1480447937.380184,38391808
1480447940.582367,38391808
1480447944.020564,38391808
1480447947.234747,38391808
1480447950.404929,38391808
1480447953.897128,38391808
1480447957.41333,38391808
1480447960.663515,38391808
1480447963.844697,38391808
1480447967.107884,38391808
1480447970.389072,38391808
1480447973.494249,38391808
1480447976.606427,38391808
1480447979.678603,38391808
1480447982.877786,38391808
1480447986.140973,38391808
1480447989.379158,38391808
1480447992.598342,38391808
1480447995.928533,38391808
1480447999.056711,38391808
1480448002.155889,38391808
1480448005.225064,38391808
1480448008.414247,38391808
1480448011.759438,38391808
1480448015.133631,38391808
1480448018.25781,38391808
1480448021.331986,38391808
1480448024.55917,38391808
1480448027.743352,38391808
1480448030.824528,38391808
1480448033.920706,38391808
1480448037.106888,38391808
1480448040.280069,38391808
1480448043.654262,38391808
1480448046.748439,38391808
1480448050.143633,38391808
1480448053.40682,38391808
1480448056.594002,38391808
1480448060.008198,38391808
1480448063.145377,38391808
1480448066.573573,38391808
1480448069.737754,38391808
1480448072.835931,38391808
1480448076.110119,38391808
1480448079.412308,38391808
1480448082.463482,38391808
1480448085.664665,38391808
1480448088.935852,38391808
1480448092.03703,38391808
1480448095.213211,38391808
1480448098.487399,38391808
1480448101.800588,38391808
1480448104.896765,38391808
1480448108.163952,38391808
1480448111.44914,38391808
1480448114.719327,38391808
1480448118.183525,38391808
1480448121.569719,38391808
1480448124.7319,38391808
1480448127.978085,38391808
1480448131.216271,38391808
1480448134.425454,38391808
1480448137.660639,38391808
1480448140.887824,38391808
1480448144.095007,38391808
1480448147.247187,38391808
1480448150.418369,38391808
1480448153.76156,38391808
1480448156.977744,38391808
1480448160.244931,38391808
1480448163.37911,38391808
1480448166.52929,38391808
1480448169.85348,38391808
1480448173.089666,38391808
1480448176.300849,38391808
1480448179.400026,38391808
1480448182.61421,38391808
1480449981.557003,38391808
1480449987.702354,38391808
1480449990.884536,38391808
1480449994.162724,38391808
1480449997.603921,38391808
1480450001.047118,38391808
1480450004.261301,38391808
1480450007.795504,38391808
1480450011.165696,38391808
1480450014.517888,38391808
1480450017.963085,38391808
1480450021.241273,38391808
1480450024.629466,38391808
1480450027.929655,38391808
1480450031.403854,38391808
1480450034.874052,38391808
1480450038.303249,38391808
1480450041.411426,38391808
1480450044.536605,38391808
1480450047.737788,38391808
1480450051.020976,38391808
1480450054.41317,38391808
1480450057.571351,38391808
1480450060.833537,38391808
1480450063.985717,38391808
1480450067.321908,38391808
1480450070.914114,38391808
1480450074.048293,38391808
1480450077.289478,38391808
1480450080.478661,38391808
1480450083.651842,38391808
1480450086.92603,38391808
1480450090.069209,38391808
1480450093.321395,38391808
1480450096.55458,38391808
1480450099.665758,38391808
1480450102.881942,38391808
1480450106.069125,38391808
1480450109.194303,38391808
1480450112.6415,38391808
1480450115.881686,38391808
1480450119.030866,38391808
1480450122.193047,38391808
1480450125.312225,38391808
1480450128.608414,38391808
1480450131.8586,38391808
1480450135.198791,38391808
1480450138.32697,38391808
1480450141.689162,38391808
1480450145.246365,38391808
1480450148.344543,38391808
1480450151.511724,38391808
1480450154.750909,38391808
1480450157.965093,38391808
1480450161.183277,38391808
1480450164.411462,38391808
1480450167.668648,38391808
1480450170.85483,38391808
1480450174.119017,38391808
1480450177.356202,38391808
1480450180.63839,38391808
1480450183.706565,38391808
1480450186.846745,38391808
1480450190.044928,38391808
1480450193.283113,38391808
1480450196.606303,38391808
1480450199.843488,38391808
1480450203.179679,38391808
1480450206.355861,38391808
1480450209.592046,38391808
1480450212.741226,38391808
1480450215.880405,38391808
1480450219.270599,38391808
1480450222.556787,38391808
1480450226.020985,38391808
1480450229.270171,38391808
1480450232.409351,38391808
1480450235.504528,38391808
1480450238.836718,38391808
1480450242.222912,38391808
1480450245.411094,38391808
1480450248.891293,38391808
1480450252.028473,38391808
1480450255.288659,38391808
1480450258.709855,38391808
1480450262.171053,38391808
1480450265.358235,38391808
1480450268.59542,38391808
1480450271.90661,38391808
1480450275.06079,38391808
1480450278.19897,38391808
1480450281.415154,38391808
1480450284.645338,38391808
1480450287.845522,38391808
1480450290.944699,38391808
1480450294.4639,38391808
1480450297.678084,38391808
1480450300.93227,38391808
1480450304.25546,38391808
1480450307.607652,38391808
